Name;long;lat;Adresse;PLZ;Stadt;Telefon;Fax;Email;Website;Dateiname
;;;;;;;;;;01108.html
;;;;;;;;;;01108.html
;;;;;;;;;;01108.html
;;;;;;;;;;01108.html
;;;;;;;;;;01108.html
;;;;;;;;;;01108.html
;;;;;;;;;;01108.html
;;;;;;;;;;01108.html
;;;;;;;;;;01108.html
;;;;;;;;;;01108.html
;;;;;;;;;;01108.html
;;;;;;;;;;01108.html
;;;;;;;;;;01108.html
;;;;;;;;;;01108.html
;;;;;;;;;;01108.html
;;;;;;;;;;01108.html
;;;;;;;;;;01108.html
;;;;;;;;;;01108.html
;;;;;;;;;;27324.html
;;;;;;;;;;27324.html
;;;;;;;;;;27324.html
;;;;;;;;;;23628.html
;;;;;;;;;;23628.html
;;;;;;;;;;23628.html
;;;;;;;;;;23628.html
;;;;;;;;;;23628.html
;;;;;;;;;;23628.html
;;;;;;;;;;23628.html
;;;;;;;;;;23628.html
;;;;;;;;;;23628.html
;;;;;;;;;;23628.html
;;;;;;;;;;23628.html
;;;;;;;;;;23628.html
;;;;;;;;;;23628.html
;;;;;;;;;;23628.html
;;;;;;;;;;23628.html
;;;;;;;;;;23628.html
;;;;;;;;;;23628.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
;;;;;;;;;;20146.html
